crack,age,siblings,income,educ,workhours,minority,female,evermarried
0,48,2,33.075,19,1,0,0,1
0,81,10,7.9625,12,4,0,1,1
0,57,5,9.1875,16,4,0,0,1
0,61,4,49,15,5,0,1,1
0,56,9,155.1399731,18,5,0,1,1
0,33,0,11.6375,16,7,1,1,1
0,32,5,15.925,9,8,0,0,1
0,66,1,26.95,14,8,0,0,1
0,63,2,49,14,8,0,0,1
0,57,7,13.475,9,8,1,1,1
0,33,3,26.95,11,9,0,0,1
0,25,3,5.5125,12,9,0,1,1
0,44,2,22.05,12,9,0,1,1
0,49,5,22.05,12,9,0,1,1
0,37,1,40.425,12,9,0,0,1
0,54,2,33.075,13,9,0,1,1
0,66,1,11.6375,14,9,0,1,1
0,34,3,18.375,14,9,0,1,1
0,65,3,18.375,14,9,0,1,1
0,44,3,5.5125,15,9,0,1,1
0,63,5,40.425,15,9,0,1,1
0,25,2,22.05,16,9,0,1,1
0,37,3,40.425,16,9,0,0,1
0,33,1,33.075,17,9,0,1,1
0,28,3,58.8,17,9,0,1,1
0,37,0,155.1399731,17,9,0,1,1
0,36,1,58.8,18,9,0,1,1
0,62,0,58.8,20,9,0,1,1
0,49,15,26.95,12,9,1,0,1
0,34,3,155.1399731,13,9,1,0,1
0,46,7,5.5125,15,9,1,1,1
0,48,6,18.375,16,9,1,1,1
0,31,2,49,16,9,1,1,1
0,26,3,11.6375,12,10,0,1,1
0,72,6,11.6375,12,10,0,0,1
0,33,1,33.075,12,10,0,1,1
0,39,2,15.925,18,10,0,1,1
0,77,2,15.925,20,10,0,0,1
0,71,2,6.7375,12,12,0,1,1
0,60,6,33.075,20,12,0,0,1
0,79,2,33.075,19,14,0,0,1
0,49,2,40.425,12,15,0,1,1
0,38,2,33.075,15,15,0,1,1
0,52,1,155.1399731,15,15,0,1,1
0,64,2,33.075,16,15,0,0,1
0,67,4,7.9625,16,15,1,1,1
0,65,1,13.475,16,16,0,1,1
0,68,1,18.375,16,16,0,0,1
0,30,2,49,16,16,0,1,1
0,34,1,155.1399731,16,16,0,1,1
0,42,3,33.075,9,17,0,1,1
0,67,3,33.075,12,18,0,1,1
0,51,4,40.425,18,19,0,1,1
0,74,6,9.1875,12,20,0,1,1
0,74,5,18.375,12,20,0,1,1
0,49,1,49,12,20,0,1,1
0,44,3,4.41,13,20,0,1,1
0,38,2,40.425,15,20,0,1,1
0,29,2,33.075,16,20,0,1,1
0,58,1,155.1399731,16,20,0,1,1
0,63,1,49,17,20,0,0,1
0,40,1,155.1399731,17,20,0,1,1
0,39,4,49,18,20,0,1,1
0,34,15,13.475,19,20,0,1,1
0,44,2,13.475,11,20,1,0,1
0,27,2,68.6,20,20,1,1,1
0,56,5,40.425,16,21,0,1,1
0,27,7,40.425,14,21,1,0,1
0,51,2,40.425,12,22,0,0,1
0,30,6,15.925,16,22,0,1,1
0,53,4,1.715,10,23,0,1,1
0,44,9,11.6375,11,24,0,1,1
0,40,1,18.375,12,24,0,1,1
0,30,2,33.075,14,24,0,1,1
0,46,5,22.05,16,24,0,1,1
0,52,3,15.925,18,24,0,1,1
0,66,9,33.075,14,24,1,0,1
0,73,2,22.05,8,25,0,0,1
0,59,8,58.8,12,25,0,1,1
0,21,6,10.4125,14,25,0,1,1
0,77,1,155.1399731,20,25,0,0,1
0,29,3,22.05,13,25,1,1,1
0,36,3,40.425,15,25,1,1,1
0,78,2,2.695,16,25,1,0,1
0,47,3,49,17,27,0,0,1
0,33,3,58.8,16,28,0,1,1
0,44,10,4.41,11,28,1,1,1
0,70,6,18.375,12,29,0,1,1
0,48,2,40.425,8,30,0,1,1
0,66,1,6.7375,12,30,0,1,1
0,73,2,22.05,12,30,0,1,1
0,55,5,22.05,12,30,0,0,1
0,51,2,49,12,30,0,1,1
0,45,3,10.4125,13,30,0,1,1
0,29,4,26.95,13,30,0,1,1
0,25,2,13.475,15,30,0,1,1
0,47,2,49,19,30,0,1,1
0,46,6,13.475,20,30,0,1,1
0,34,3,9.1875,11,30,1,1,1
0,28,1,13.475,12,30,1,1,1
0,61,5,49,13,30,1,1,1
0,32,10,11.6375,14,30,1,1,1
0,31,5,40.425,15,30,1,0,1
0,37,3,155.1399731,16,30,1,1,1
0,55,3,40.425,18,30,1,1,1
0,75,3,26.95,12,31,0,1,1
0,46,15,7.9625,11,32,0,1,1
0,43,2,11.6375,11,32,0,1,1
0,48,1,18.375,12,32,0,0,1
0,56,4,58.8,12,32,0,1,1
0,41,2,26.95,13,32,0,1,1
0,33,1,33.075,13,32,0,1,1
0,32,2,40.425,14,32,0,1,1
0,41,1,155.1399731,15,32,0,0,1
0,59,2,33.075,16,32,0,1,1
0,61,4,33.075,16,32,0,1,1
0,53,3,49,20,32,0,0,1
0,55,4,49,20,32,0,1,1
0,43,11,3.675,6,32,1,0,1
0,64,14,49,14,32,1,0,1
0,36,2,33.075,20,33,0,1,1
0,63,1,5.5125,12,34,0,0,1
0,70,2,7.9625,12,34,0,1,1
0,32,6,13.475,14,34,0,1,1
0,52,6,22.05,4,35,0,1,1
0,43,3,5.5125,11,35,0,0,1
0,51,2,3.675,12,35,0,1,1
0,35,4,7.9625,12,35,0,0,1
0,58,3,22.05,12,35,0,0,1
0,52,2,40.425,12,35,0,1,1
0,38,2,49,12,35,0,0,1
0,26,3,11.6375,13,35,0,1,1
0,65,2,49,13,35,0,1,1
0,40,2,15.925,15,35,0,1,1
0,26,2,33.075,16,35,0,1,1
0,35,2,22.05,17,35,0,0,1
0,43,2,155.1399731,17,35,0,0,1
0,28,3,18.375,20,35,0,1,1
0,54,3,155.1399731,20,35,0,1,1
0,45,4,11.6375,16,35,1,1,1
0,41,3,40.425,16,35,1,0,1
0,71,1,68.6,16,35,1,0,1
0,64,5,18.375,14,36,0,0,1
0,31,2,26.95,14,36,0,1,1
0,57,5,22.05,16,36,0,1,1
0,45,3,58.8,16,36,0,0,1
0,65,1,155.1399731,18,36,0,1,1
0,49,3,15.925,12,36,1,1,1
0,41,4,15.925,12,36,1,1,1
0,44,8,13.475,13,36,1,0,1
0,41,3,18.375,14,36,1,1,1
0,42,3,155.1399731,16,36,1,1,1
0,42,3,13.475,14,37,0,1,1
0,52,3,22.05,14,37,0,1,1
0,58,3,26.95,14,37,0,0,1
0,26,1,155.1399731,15,37,0,1,1
0,55,1,40.425,16,37,0,1,1
0,42,2,58.8,17,37,0,1,1
0,52,7,15.925,14,37,1,1,1
0,39,3,11.6375,9,38,0,0,1
0,49,9,18.375,12,38,0,1,1
0,35,6,22.05,12,38,0,1,1
0,60,1,33.075,12,38,0,0,1
0,55,2,33.075,12,38,0,1,1
0,42,3,40.425,13,38,0,0,1
0,33,6,15.925,14,38,0,1,1
0,53,2,40.425,14,38,0,1,1
0,53,2,26.95,16,38,0,1,1
0,48,9,26.95,18,38,1,1,1
0,63,4,6.7375,20,38,1,0,1
0,32,4,7.9625,9,39,0,1,1
0,53,2,155.1399731,16,39,0,0,1
0,56,2,33.075,13,39,1,0,1
0,69,4,22.05,8,40,0,1,1
0,59,3,40.425,8,40,0,1,1
0,36,3,10.4125,9,40,0,0,1
0,56,6,26.95,10,40,0,1,1
0,32,4,15.925,11,40,0,0,1
0,42,3,33.075,11,40,0,0,1
0,48,5,49,11,40,0,1,1
0,71,15,1.715,12,40,0,0,1
0,58,3,6.7375,12,40,0,1,1
0,44,2,9.1875,12,40,0,1,1
0,34,3,10.4125,12,40,0,1,1
0,56,3,10.4125,12,40,0,1,1
0,48,6,10.4125,12,40,0,1,1
0,34,2,11.6375,12,40,0,0,1
0,72,1,13.475,12,40,0,1,1
0,28,2,13.475,12,40,0,0,1
0,48,2,15.925,12,40,0,1,1
0,34,1,18.375,12,40,0,1,1
0,38,6,18.375,12,40,0,1,1
0,58,6,18.375,12,40,0,1,1
0,42,0,22.05,12,40,0,0,1
0,36,1,22.05,12,40,0,0,1
0,41,1,22.05,12,40,0,1,1
0,48,2,22.05,12,40,0,1,1
0,50,2,22.05,12,40,0,1,1
0,50,3,22.05,12,40,0,1,1
0,35,1,26.95,12,40,0,1,1
0,63,1,26.95,12,40,0,1,1
0,30,2,26.95,12,40,0,0,1
0,65,3,26.95,12,40,0,0,1
0,31,4,26.95,12,40,0,1,1
0,49,5,26.95,12,40,0,1,1
0,22,1,33.075,12,40,0,0,1
0,32,1,33.075,12,40,0,0,1
0,27,1,33.075,12,40,0,1,1
0,61,2,33.075,12,40,0,1,1
0,50,3,33.075,12,40,0,1,1
0,56,8,33.075,12,40,0,0,1
0,47,1,40.425,12,40,0,0,1
0,48,1,40.425,12,40,0,0,1
0,72,2,40.425,12,40,0,1,1
0,46,3,40.425,12,40,0,0,1
0,70,4,40.425,12,40,0,0,1
0,67,5,40.425,12,40,0,1,1
0,48,7,40.425,12,40,0,1,1
0,55,0,49,12,40,0,0,1
0,48,1,49,12,40,0,1,1
0,36,2,49,12,40,0,1,1
0,54,3,49,12,40,0,0,1
0,57,6,49,12,40,0,0,1
0,26,3,58.8,12,40,0,0,1
0,53,5,58.8,12,40,0,1,1
0,55,5,6.7375,13,40,0,1,1
0,38,5,15.925,13,40,0,0,1
0,54,4,18.375,13,40,0,0,1
0,65,4,18.375,13,40,0,0,1
0,35,1,22.05,13,40,0,0,1
0,37,1,22.05,13,40,0,0,1
0,51,1,40.425,13,40,0,0,1
0,62,1,40.425,13,40,0,0,1
0,39,1,40.425,13,40,0,1,1
0,45,2,40.425,13,40,0,1,1
0,40,4,40.425,13,40,0,1,1
0,55,6,40.425,13,40,0,1,1
0,52,3,49,13,40,0,0,1
0,43,3,49,13,40,0,1,1
0,56,1,155.1399731,13,40,0,0,1
0,42,3,6.7375,14,40,0,1,1
0,34,2,11.6375,14,40,0,0,1
0,51,0,15.925,14,40,0,1,1
0,31,1,18.375,14,40,0,1,1
0,69,2,18.375,14,40,0,1,1
0,36,4,18.375,14,40,0,1,1
0,41,5,18.375,14,40,0,0,1
0,52,2,22.05,14,40,0,1,1
0,57,3,22.05,14,40,0,1,1
0,55,6,22.05,14,40,0,0,1
0,40,3,26.95,14,40,0,0,1
0,39,5,26.95,14,40,0,1,1
0,63,5,26.95,14,40,0,1,1
0,42,1,33.075,14,40,0,1,1
0,56,4,40.425,14,40,0,0,1
0,54,1,49,14,40,0,0,1
0,28,2,49,14,40,0,0,1
0,51,4,49,14,40,0,0,1
0,51,5,49,14,40,0,0,1
0,52,2,18.375,15,40,0,1,1
0,46,5,18.375,15,40,0,0,1
0,69,3,22.05,15,40,0,0,1
0,75,1,33.075,15,40,0,1,1
0,36,6,18.375,16,40,0,0,1
0,50,6,18.375,16,40,0,0,1
0,44,2,22.05,16,40,0,0,1
0,62,2,33.075,16,40,0,0,1
0,51,3,33.075,16,40,0,0,1
0,56,3,33.075,16,40,0,1,1
0,45,4,33.075,16,40,0,1,1
0,33,1,40.425,16,40,0,0,1
0,26,1,40.425,16,40,0,1,1
0,54,5,40.425,16,40,0,1,1
0,41,0,49,16,40,0,1,1
0,57,1,49,16,40,0,0,1
0,43,1,49,16,40,0,1,1
0,31,2,49,16,40,0,0,1
0,55,2,49,16,40,0,1,1
0,66,4,49,16,40,0,0,1
0,35,2,58.8,16,40,0,1,1
0,50,4,58.8,16,40,0,1,1
0,51,5,58.8,16,40,0,0,1
0,55,3,68.6,16,40,0,0,1
0,26,0,155.1399731,16,40,0,1,1
0,46,1,155.1399731,16,40,0,0,1
0,33,1,155.1399731,16,40,0,1,1
0,55,2,155.1399731,16,40,0,0,1
0,68,2,155.1399731,16,40,0,0,1
0,38,2,155.1399731,16,40,0,1,1
0,40,3,155.1399731,16,40,0,0,1
0,62,3,22.05,17,40,0,1,1
0,36,1,33.075,17,40,0,0,1
0,33,2,33.075,17,40,0,0,1
0,60,6,40.425,17,40,0,0,1
0,30,2,49,17,40,0,0,1
0,56,1,155.1399731,17,40,0,0,1
0,54,2,155.1399731,17,40,0,0,1
0,37,6,155.1399731,17,40,0,0,1
0,57,3,18.375,18,40,0,0,1
0,51,3,33.075,18,40,0,1,1
0,39,4,33.075,18,40,0,1,1
0,36,9,49,18,40,0,1,1
0,82,1,58.8,18,40,0,0,1
0,40,1,68.6,18,40,0,1,1
0,32,1,155.1399731,18,40,0,1,1
0,37,2,155.1399731,18,40,0,1,1
0,63,7,155.1399731,18,40,0,0,1
0,45,1,22.05,19,40,0,1,1
0,67,3,40.425,19,40,0,0,1
0,65,3,40.425,19,40,0,1,1
0,32,5,40.425,19,40,0,1,1
0,37,1,58.8,19,40,0,0,1
0,54,10,18.375,20,40,0,0,1
0,40,1,22.05,20,40,0,0,1
0,39,2,58.8,20,40,0,1,1
0,36,1,155.1399731,20,40,0,1,1
0,48,1,155.1399731,20,40,0,1,1
0,46,2,155.1399731,20,40,0,0,1
0,47,2,155.1399731,20,40,0,1,1
0,25,7,11.6375,6,40,1,0,1
0,44,6,18.375,8,40,1,1,1
0,40,3,49,8,40,1,1,1
0,43,3,13.475,10,40,1,0,1
0,38,4,22.05,10,40,1,1,1
0,43,7,3.675,11,40,1,1,1
0,49,10,3.185,12,40,1,0,1
0,39,5,9.1875,12,40,1,1,1
0,24,4,10.4125,12,40,1,0,1
0,55,7,11.6375,12,40,1,1,1
0,24,5,13.475,12,40,1,1,1
0,58,2,15.925,12,40,1,1,1
0,57,7,15.925,12,40,1,1,1
0,65,6,18.375,12,40,1,1,1
0,32,2,22.05,12,40,1,1,1
0,38,5,26.95,12,40,1,0,1
0,53,7,26.95,12,40,1,1,1
0,45,2,33.075,12,40,1,0,1
0,49,2,33.075,12,40,1,0,1
0,35,3,33.075,12,40,1,0,1
0,49,5,33.075,12,40,1,0,1
0,26,1,40.425,12,40,1,1,1
0,53,14,68.6,12,40,1,1,1
0,50,4,6.7375,13,40,1,0,1
0,32,8,13.475,13,40,1,1,1
0,47,2,22.05,13,40,1,1,1
0,21,2,5.5125,14,40,1,1,1
0,55,11,13.475,14,40,1,1,1
0,26,2,22.05,14,40,1,1,1
0,58,13,26.95,14,40,1,1,1
0,46,10,33.075,14,40,1,1,1
0,51,1,155.1399731,14,40,1,0,1
0,39,3,26.95,15,40,1,1,1
0,56,4,22.05,16,40,1,0,1
0,40,4,33.075,16,40,1,0,1
0,53,2,49,16,40,1,1,1
0,60,2,58.8,16,40,1,0,1
0,68,3,58.8,16,40,1,0,1
0,39,3,58.8,16,40,1,1,1
0,39,1,155.1399731,16,40,1,0,1
0,32,1,155.1399731,16,40,1,1,1
0,49,3,155.1399731,16,40,1,1,1
0,50,12,155.1399731,16,40,1,0,1
0,49,2,68.6,17,40,1,0,1
0,48,2,155.1399731,17,40,1,1,1
0,37,4,155.1399731,17,40,1,1,1
0,41,6,40.425,18,40,1,1,1
0,37,1,49,18,40,1,0,1
0,29,1,49,18,40,1,1,1
0,31,2,58.8,18,40,1,0,1
0,42,2,155.1399731,18,40,1,1,1
0,41,5,40.425,19,40,1,1,1
0,31,3,40.425,20,40,1,0,1
0,48,2,58.8,20,40,1,1,1
0,49,0,68.6,20,40,1,1,1
0,60,7,155.1399731,20,40,1,0,1
0,39,2,40.425,12,41,0,1,1
0,27,2,22.05,14,41,0,0,1
0,26,1,9.1875,15,41,0,0,1
0,36,0,68.6,18,41,0,0,1
0,50,8,11.6375,9,42,0,1,1
0,29,4,26.95,12,42,0,0,1
0,41,1,40.425,14,42,0,0,1
0,61,0,18.375,15,42,0,0,1
0,50,3,22.05,15,42,0,0,1
0,39,2,40.425,16,42,0,1,1
0,45,1,49,16,42,0,1,1
0,35,6,155.1399731,18,42,0,1,1
0,36,1,5.5125,14,42,1,1,1
0,55,3,22.05,18,42,1,0,1
0,31,4,22.05,12,43,0,1,1
0,50,4,40.425,12,43,0,0,1
0,42,3,40.425,15,43,0,0,1
0,40,1,49,16,43,0,0,1
0,43,4,33.075,12,44,0,0,1
0,35,6,18.375,14,44,0,1,1
0,47,2,26.95,14,44,0,1,1
0,37,4,15.925,16,44,0,1,1
0,39,2,68.6,16,44,0,0,1
0,46,8,22.05,12,44,1,0,1
0,24,4,15.925,12,45,0,0,1
0,62,2,22.05,12,45,0,0,1
0,60,3,33.075,12,45,0,0,1
0,54,1,40.425,12,45,0,0,1
0,47,3,40.425,12,45,0,0,1
0,51,4,40.425,12,45,0,0,1
0,55,4,26.95,13,45,0,0,1
0,46,8,33.075,13,45,0,0,1
0,55,2,40.425,13,45,0,1,1
0,42,6,10.4125,14,45,0,1,1
0,57,8,18.375,14,45,0,0,1
0,48,2,26.95,14,45,0,1,1
0,55,3,33.075,14,45,0,0,1
0,68,4,33.075,14,45,0,1,1
0,63,7,49,14,45,0,1,1
0,40,0,68.6,14,45,0,1,1
0,42,5,155.1399731,14,45,0,0,1
0,48,11,155.1399731,14,45,0,1,1
0,42,1,58.8,15,45,0,0,1
0,44,1,40.425,16,45,0,0,1
0,58,2,40.425,16,45,0,1,1
0,41,2,7.9625,17,45,0,0,1
0,32,2,58.8,17,45,0,0,1
0,30,2,155.1399731,17,45,0,0,1
0,51,4,155.1399731,17,45,0,0,1
0,38,0,49,18,45,0,1,1
0,39,0,155.1399731,18,45,0,1,1
0,51,3,18.375,19,45,0,1,1
0,28,2,26.95,19,45,0,1,1
0,53,2,155.1399731,19,45,0,0,1
0,55,4,155.1399731,20,45,0,0,1
0,38,7,0.245,0,45,1,0,1
0,55,5,18.375,5,45,1,0,1
0,50,6,33.075,17,45,1,0,1
0,61,3,18.375,11,46,0,1,1
0,47,1,18.375,12,46,0,0,1
0,43,7,22.05,12,46,0,1,1
0,62,0,26.95,12,46,0,0,1
0,52,2,33.075,12,46,0,1,1
0,24,2,155.1399731,12,46,0,1,1
0,64,1,22.05,13,46,0,1,1
0,59,2,40.425,13,46,0,0,1
0,30,2,9.1875,14,46,0,1,1
0,55,1,155.1399731,16,46,0,0,1
0,47,2,40.425,12,47,0,0,1
0,59,7,33.075,14,47,0,0,1
0,62,1,33.075,18,47,0,0,1
0,40,13,11.6375,6,48,0,1,1
0,45,3,33.075,11,48,0,0,1
0,56,3,26.95,12,48,0,0,1
0,37,1,40.425,12,48,0,0,1
0,27,4,33.075,14,48,0,1,1
0,30,2,15.925,16,48,0,0,1
0,47,1,49,16,48,0,0,1
0,32,1,68.6,16,48,0,0,1
0,49,2,49,17,48,0,1,1
0,61,2,49,17,48,0,1,1
0,39,7,9.1875,12,48,1,1,1
0,53,7,33.075,12,48,1,0,1
0,63,8,33.075,12,48,1,0,1
0,35,4,22.05,14,48,1,0,1
0,41,1,13.475,16,48,1,1,1
0,49,4,22.05,16,48,1,1,1
0,47,3,40.425,11,49,0,0,1
0,48,3,40.425,13,49,0,0,1
0,41,2,33.075,16,49,0,0,1
0,36,3,22.05,11,50,0,0,1
0,59,2,13.475,12,50,0,1,1
0,61,8,13.475,12,50,0,1,1
0,56,8,22.05,12,50,0,0,1
0,39,1,26.95,12,50,0,0,1
0,43,1,26.95,12,50,0,0,1
0,56,3,40.425,12,50,0,0,1
0,61,3,49,12,50,0,1,1
0,61,4,58.8,12,50,0,1,1
0,34,3,58.8,13,50,0,0,1
0,37,1,22.05,14,50,0,0,1
0,62,1,26.95,14,50,0,0,1
0,42,3,26.95,14,50,0,0,1
0,49,1,33.075,14,50,0,1,1
0,39,2,33.075,14,50,0,0,1
0,61,7,40.425,14,50,0,1,1
0,37,1,26.95,15,50,0,0,1
