id,stat104,stat110,stat139,cs50,r,freshman,sophomore,junior,senior,female,height,weight,iphone,looks,sleep,haircut,smoke,snap,righthanded,manual,vegetarian,glasses,coffee,blonde,shower_away,fastestdriven,relationship,siblings,texts,exercise,random,ttest
1,0,1,1,0,1,0,0,0,0,1,63,113,1,40,8,80,0,1,1,0,1,1,0,0,0,50,1,0,30,2,88,0.5
2,0,1,0,0,0,0,1,0,0,1,55,135,1,35,8,85,0,1,0,1,1,0,0,1,1,115,0,1,45,7,69,0
4,0,1,0,1,0.5,0,1,0,0,0,69,135,0,0,7,20,0,1,1,0,0,1,0,0,1,105,0.5,2,25,2,44,0.5
5,1,1,0,0,0.5,0,1,0,0,0,73,175,1,25,8,15,0,1,1,1,0,0,0,1,1,144,0,1,200,14,83,0
6,0,1,0,1,0.5,0,1,0,0,0,69,175,1,40,8,22,0,1,1,0,0,1,0,0,0,85,1,1,50,6,9,0
7,0,1,0,1,0.5,0,1,0,0,1,71,140,1,15,7,35,0,1,1,0,0,0,0,0,1,80,1,1,70,5,17,0
10,0,1,0,1,0.5,0,1,0,0,1,62,108,1,15,8,42,0,1,0,1,0,0,1,0,0,85,1,2,150,3,79,0
11,0,1,0,0,1,0,0,0,0,0,76,190,1,0,7,16,0,1,1,1,0,1,0,0,0,100,0.5,5,10,1,72,0
12,0,1,0,0,1,0,0,0,0,1,62,116,1,40,8,64,0,1,0,0,0,1,1,0,1,110,0,1,30,7,74,0
13,0,1,0,0,0,1,0,0,0,0,72,165,1,5,8,20,0,1,1,0,0,0,0,0,0,20,0,2,10,10,79,0
14,1,1,0,1,0.5,0,1,0,0,0,72,185,1,0,8,20,0,1,1,0,0,1,0,0,0,95,0.5,1,50,7,17,0.5
15,1,1,0,1,1,0,0,0,1,0,72,163,1,25,6,28,0,1,1,0,0,0,0,1,1,110,1,6,15,1,97,0.5
16,1,1,0,1,0,0,0,1,0,0,74,190,1,40,7,20,0,1,1,0,0,1,0,0,1,100,1,1,30,2,28,0
17,0,1,0,0,0.5,0,0,0,0,0,68,140,0,50,8,18,0,1,1,0,1,1,0,0,0,140,0,2,3,2,5,0.5
19,0,1,0,1,0,0,0,0,1,0,71,165,0,10,7,20,0,1,1,0,0,1,0,0,1,85,0,1,20,10,77,0
20,1,1,0,1,0,0,1,0,0,1,57,125,1,50,5,30,0,1,1,0,0,1,0,0,1,100,0,0,100,1,57,0
21,0,1,1,0,1,0,0,0,0,0,71,145,0,40,7,18,0,1,1,1,0,1,0,1,1,100,0,1,2,1,2,0
22,0,1,0,0,0,0,1,0,0,0,70,163,1,20,7,35,0,1,1,0,0,0,1,0,1,90,1,1,50,12,28,0
23,0,1,0,1,0,0,0,0,1,0,70,180,1,65,8,18,0,1,1,0,0,1,1,0,0,95,0,1,5,3,12,0
24,0,1,0,1,1,0,1,0,0,1,55,110,1,50,9,18,0,0,1,0,0,1,0,0,1,65,1,2,10,0,67,0
25,0,1,0,1,1,0,1,0,0,0,57,147,1,33,7.5,0,0,1,1,0,0,1,0,0,0,70,1,1,30,6,157,0
26,0,0,0,0,0.5,0,0,0,0,1,53,120,1,20,8,50,0,1,1,1,0,1,0,0,1,120,1,1,10,2,56,0
27,1,1,0,0,0.5,0,1,0,0,0,70,145,1,50,7,20,1,1,1,1,0,0,0,1,1,160,0.5,1,60,10,23,0
28,1,1,1,0,1,0,0,1,0,1,66,140,1,50,7,25,0,1,1,0,0,0,0,0,1,110,0,1,40,10,24,0.5
30,0,1,1,0,0.5,0,0,0,0,1,64,100,1,50,10,85,0,0,1,1,0,1,1,0,1,40,1,1,15,2,17,0.5
31,1,1,0,1,0,0,1,0,0,1,61,102,1,40,8,40,0,1,1,0,0,1,0,0,1,80,0,1,20,10,15,0
32,0,1,0,0,0,0,1,0,0,0,68,130,1,50,7,18,0,1,1,0,0,1,0,0,0,70,1,2,7,2,92,0
34,0,1,0,0,0.5,1,0,0,0,1,64,120,1,40,7,12,0,1,1,0,0,1,0,0,1,70,0,0,15,1,97,0
35,0,1,0,1,0,0,1,0,0,1,56,117,1,50,9,80,0,1,1,0,0,1,0,1,1,100,0,2,10,3,50,0
36,0,1,0,0,0,0,1,0,0,0,68,228,1,65,4,27,0,1,0,0,0,1,0,0,0,90,0,2,30,5,13,0
37,1,1,1,1,1,0,0,1,0,0,75,185,1,60,8.5,20,1,1,1,0,0,0,0,0,0,95,0,3,20,16,42,0.5
38,0,1,0,1,0.5,0,1,0,0,0,69,132,0,20,7,15,0,1,1,0,0,1,0,0,0,90,0.5,1,20,2,21,0
39,1,1,0,0,0,0,1,0,0,0,70,152,0,0,8,0,0,1,1,1,0,0,0,0,1,80,0,2,20,20,69,0
40,0,1,0,1,0,0,0,1,0,1,64,105,1,50,8,20,0,1,1,0,0,1,0,0,1,40,0,0,52,5,4,0
41,1,1,1,1,1,0,0,0,1,0,73,175,0,69,8.5,30,0,1,1,1,0,0,0,1,0,95,1,2,50,6,61,0.5
42,1,1,0,0,0.5,0,1,0,0,1,51,107,0,1,6,220,0,1,1,0,0,1,0,0,1,85,0,1,35,9,76,0.5
43,0,1,0,1,0.5,0,1,0,0,0,68,154,0,0,7,208,0,0,1,0,0,1,0,0,0,0,0,1,20,2,1,0
44,1,1,0,1,0,0,1,0,0,1,67,123,0,0,8,20,0,0,1,0,0,1,0,0,1,85,1,1,5,2,48,0
45,1,1,0,0,0,0,0,1,0,1,66,145,0,50,8,200,0,1,1,0,0,1,1,0,1,100,0,3,20,6,21,1
46,1,1,1,0,1,0,0,1,0,1,62,135,1,66,8,20,0,1,1,0,0,1,0,0,1,90,0,1,20,1,78,1
47,1,1,0,0,0,0,1,0,0,1,65,145,1,50,6,12,0,0,1,0,0,0,0,0,1,65,0.5,0,50,2,2,0
48,0,1,0,1,0.5,0,1,0,0,0,58,155,0,50,65,17,0,1,1,0,0,1,0,0,0,105,1,1,20,5,97,0
49,1,1,0,0,0.5,0,1,0,0,1,64,115,1,50,6,15,0,1,1,0,0,1,0,0,0,0,0,0,100,0,77,0
50,0,1,1,1,0,0,1,0,0,0,69,155,1,50,7,10,0,1,1,0,0,1,0,0,0,100,0,1,100,4,49,0
53,1,1,0,0,0.5,0,1,0,0,0,73,175,1,15,9,20,0,1,1,0,0,0,0,0,0,125,1,1,100,20,97,0
54,0,1,0,1,0.5,0,1,0,0,0,67,140,0,75,7,14,0,1,1,0,0,1,0,0,0,40,0,1,100,6,42,0
55,0,1,0,1,0,0,0,1,0,0,72,200,0,30,9,20,0,1,0,1,0,0,0,0,1,85,0,3,5,8,51,0
56,0,1,0,1,0.5,0,1,0,0,0,58,122,1,50,8,21,0,1,1,0,1,0,1,0,1,100,0,0,50,5,99,0
57,0,1,0,1,0,0,0,1,0,0,67,135,1,30,7,20,0,1,1,0,0,1,1,0,1,90,0,3,50,0.5,90,0
58,1,1,0,1,0,0,0,1,0,0,70,148,1,70,7,18,0,1,0,0,0,1,0,0,0,100,0,3,50,3,37,0
59,0,1,0,1,0.5,0,0,1,0,0,71,155,1,50,7,35,0,1,1,0,0,0,0,0,1,60,0,0,10,6,8,0.5
60,0,1,0,0,0.5,0,0,1,0,1,68,137,0,40,7,80,0,1,1,0,0,0,0,0,0,9,1,9,15,1,88,0.5
62,0,1,0,1,0.5,0,0,0,0,1,57,120,1,50,7,80,0,0,1,1,0,1,1,0,0,130,1,1,10,3,48,0
63,0,1,1,1,0.5,0,1,0,0,0,70,150,1,30,7,15,0,1,1,0,0,0,1,0,1,90,0.5,1,200,1,12,0.5
64,0,1,0,1,0.5,0,0,1,0,0,69,140,0,30,7,3.5,0,1,1,0,0,1,0,0,1,70,0,1,20,5,37,0
65,0,0,0,1,0.5,0,0,0,0,1,64,117,0,40,8,6,0,0,1,0,0,0,0,0,1,0,1,0,20,3,82,0
66,1,1,0,0,0.5,0,1,0,0,0,75,200,1,0,7,0,0,1,1,0,0,1,0,0,0,95,1,2,50,20,56,0
67,0,0,0,0,1,0,0,0,0,0,76,185,1,10,7,15,0,1,1,1,0,0,1,0,0,110,1,0,50,3,59,1
68,1,1,0,1,0,0,1,0,0,0,75,185,1,30,8,22,0,0,1,0,0,1,1,0,0,92,0,1,300,5,3,0
70,0,1,0,1,0,0,0,0,1,1,66,138,1,38,7,80,0,1,1,0,0,0,0,0,0,85,0,1,13,4,23,0
71,1,1,0,0,0,0,1,0,0,0,71,200,1,20,7,38,0,1,0,0,0,1,1,1,1,10,0,0,30,5,73,0
72,0,1,0,1,0.5,0,1,0,0,0,57,135,1,72,7,21,0,1,1,0,0,0,0,0,1,90,0,1,15,3,1,0
73,0,1,0,1,1,0,0,0,0,1,60,115,1,50,7,20,0,1,1,0,1,1,0,0,1,70,0,2,5,1,72,0.5
74,0,1,1,1,1,0,0,0,0,1,55,109,1,50,10,30,0,1,1,0,0,1,0,0,1,0,1,0,50,8,99,1
75,0,0,0,1,1,0,0,0,0,1,56,120,1,20,9,50,0,1,0,1,1,1,0,0,1,80,1,1,5,7,17,0
77,0,1,1,1,0.5,0,0,0,0,1,65,135,0,50,6,120,0,1,0,0,0,0,0,1,1,110,1,1,150,5,8,0.5
78,0,1,0,1,1,0,0,0,1,0,67,125,1,30,7,18,0,1,1,0,0,1,0,0,0,80,1,1,10,3,65,0
79,1,1,1,1,0.5,0,0,1,0,1,64,110,1,50,7,0,0,1,1,0,0,1,0,0,1,65,0,1,20,7,7,0
80,0,1,0,1,0,0,0,1,0,1,63,130,0,40,6,30,0,1,1,0,0,1,0,0,1,90,1,1,15,5,24,0
81,0,1,0,1,0,0,1,0,0,0,70,139,0,70,7,16,0,1,1,0,0,1,0,0,0,65,0,1,5,0,42,0
82,1,1,0,1,0.5,0,0,1,0,0,72,170,1,49,6.5,40,0,1,1,0,0,1,1,0,0,135,1,0,10,6,69,0
84,1,1,0,1,0,0,0,1,0,0,72,180,1,40,7,20,0,1,1,0,0,0,0,0,0,80,1,1,50,4,27,0
85,0,1,0,0,0.5,0,0,0,0,0,59,140,0,50,8,25,0,1,1,0,0,1,0,0,0,60,0.5,0,1,5,43,0
86,1,1,0,1,0.5,0,0,1,0,0,71,190,1,50,6,15,0,1,1,0,0,0,0,0,0,85,0,1,50,4,27,0
87,1,1,0,1,0,0,0,0,1,0,70,155,1,5,8,15,0,1,1,0,0,1,0,0,0,95,1,1,25,8,50,1
88,0,1,0,1,1,0,0,0,0,0,71,171,0,33,8,35,0,1,1,0,0,0,0,1,0,95,0.5,2,5,12,43,0.5
90,0,0,0,1,1,0,0,0,0,0,70,180,0,10,8,30,0,1,1,1,0,1,1,0,1,110,1,1,15,10,73,0.5
91,1,1,0,1,0,0,0,1,0,0,72,224,0,40,6,20,0,1,0,0,0,1,0,0,0,15,0,1,20,7,18,0
92,0,1,1,1,1,0,1,0,0,0,68,135,1,50,6,20,0,1,1,0,0,1,0,0,1,40,1,1,20,5,63,0.5
93,1,1,0,1,1,0,1,0,0,0,70,162,0,40,6,8,0,1,1,0,0,0,0,0,0,90,0,1,5,5,13,0.5
